,day,num_trips
781,2017-02-20,48033
782,2017-02-21,65210
783,2017-02-22,75481
784,2017-02-23,91304
785,2017-02-24,92094
786,2017-02-25,71395
787,2017-02-26,51711
788,2017-02-27,63301
789,2017-02-28,73776
790,2017-03-01,82012
791,2017-03-02,80569
792,2017-03-03,86537
793,2017-03-04,64604
794,2017-03-05,49939
795,2017-03-06,63148
796,2017-03-07,72284
797,2017-03-08,78658
798,2017-03-09,84020
799,2017-03-10,90429
800,2017-03-11,95067
801,2017-03-12,52101
802,2017-03-13,72071
803,2017-03-14,72661
804,2017-03-15,84706
805,2017-03-16,92488
806,2017-03-17,102041
807,2017-03-18,78684
808,2017-03-19,64903
809,2017-03-20,74640
810,2017-03-21,78884
811,2017-03-22,79877
812,2017-03-23,81253
813,2017-03-24,85691
814,2017-03-25,68834
815,2017-03-26,57530
816,2017-03-27,67741
817,2017-03-28,70777
818,2017-03-29,76204
819,2017-03-30,88135
820,2017-03-31,65617
821,2017-04-01,67690
822,2017-04-02,57560
823,2017-04-03,81894
824,2017-04-04,84358
825,2017-04-05,96349
826,2017-04-06,89742
827,2017-04-07,86915
828,2017-04-08,65037
829,2017-04-09,52974
830,2017-04-10,72959
831,2017-04-11,72695
832,2017-04-12,76988
833,2017-04-13,83818
834,2017-04-14,73297
835,2017-04-15,59880
836,2017-04-16,44735
837,2017-04-17,64575
838,2017-04-18,71503
839,2017-04-19,82119
840,2017-04-20,81722
841,2017-04-21,89288
842,2017-04-22,67962
843,2017-04-23,56687
844,2017-04-24,65980
845,2017-04-25,70795
846,2017-04-26,78184
847,2017-04-27,87036
848,2017-04-28,85666
849,2017-04-29,74283
850,2017-04-30,52011
851,2017-05-01,74723
852,2017-05-02,78518
853,2017-05-03,79387
854,2017-05-04,84888
855,2017-05-05,94905
856,2017-05-06,78820
857,2017-05-07,63920
858,2017-05-08,77518
859,2017-05-09,83767
860,2017-05-10,92012
861,2017-05-11,86092
862,2017-05-12,86014
863,2017-05-13,63275
864,2017-05-14,52515
865,2017-05-15,67323
866,2017-05-16,76628
867,2017-05-17,79225
868,2017-05-18,87197
869,2017-05-19,99650
870,2017-05-20,75545
871,2017-05-21,70285
872,2017-05-22,81545
873,2017-05-23,84921
874,2017-05-24,83276
875,2017-05-25,79664
876,2017-05-26,74163
877,2017-05-27,56150
878,2017-05-28,50037
879,2017-05-29,36256
880,2017-05-30,58869
881,2017-05-31,66298
882,2017-06-01,80539
883,2017-06-02,96212
884,2017-06-03,82384
885,2017-06-04,76075
886,2017-06-05,83192
887,2017-06-06,79625
888,2017-06-07,77828
889,2017-06-08,82067
890,2017-06-09,87145
891,2017-06-10,81708
892,2017-06-11,76973
893,2017-06-12,85724
894,2017-06-13,84216
895,2017-06-14,87881
896,2017-06-15,86335
897,2017-06-16,82226
898,2017-06-17,65564
899,2017-06-18,53248
900,2017-06-19,71911
901,2017-06-20,77304
902,2017-06-21,79358
903,2017-06-22,83481
904,2017-06-23,84020
905,2017-06-24,70119
906,2017-06-25,58778
907,2017-06-26,66387
908,2017-06-27,68882
909,2017-06-28,76667
910,2017-06-29,80910
911,2017-06-30,57713
912,2017-07-01,66365
913,2017-07-02,57030
914,2017-07-03,50122
915,2017-07-04,42844
916,2017-07-05,56794
917,2017-07-06,64368
918,2017-07-07,71235
919,2017-07-08,60833
920,2017-07-09,52604
921,2017-07-10,65253
922,2017-07-11,70077
923,2017-07-12,76546
924,2017-07-13,79067
925,2017-07-14,81902
926,2017-07-15,70115
927,2017-07-16,55678
928,2017-07-17,64272
929,2017-07-18,69081
930,2017-07-19,76355
931,2017-07-20,80586
932,2017-07-21,86580
933,2017-07-22,67700
934,2017-07-23,56724
935,2017-07-24,65848
936,2017-07-25,70905
937,2017-07-26,75294
938,2017-07-27,77368
939,2017-07-28,74882
940,2017-07-29,61104
941,2017-07-30,48775
942,2017-07-31,57992
943,2017-08-01,68773
944,2017-08-02,76121
945,2017-08-03,84193
946,2017-08-04,87199
947,2017-08-05,69502
948,2017-08-06,57072
949,2017-08-07,59830
950,2017-08-08,63671
951,2017-08-09,68337
952,2017-08-10,74687
953,2017-08-11,75086
954,2017-08-12,66155
955,2017-08-13,51656
956,2017-08-14,60377
957,2017-08-15,68394
958,2017-08-16,75033
959,2017-08-17,82120
960,2017-08-18,81448
961,2017-08-19,68452
962,2017-08-20,53428
963,2017-08-21,57281
964,2017-08-22,61483
965,2017-08-23,66217
966,2017-08-24,71188
967,2017-08-25,71219
968,2017-08-26,59349
969,2017-08-27,47288
970,2017-08-28,58421
971,2017-08-29,63144
972,2017-08-30,64182
973,2017-08-31,68555
974,2017-09-01,63141
975,2017-09-02,54675
976,2017-09-03,48769
977,2017-09-04,33244
978,2017-09-05,55277
979,2017-09-06,64389
980,2017-09-07,71381
981,2017-09-08,77280
982,2017-09-09,58929
983,2017-09-10,55341
984,2017-09-11,67251
985,2017-09-12,73466
986,2017-09-13,79290
987,2017-09-14,80222
988,2017-09-15,83516
989,2017-09-16,64587
990,2017-09-17,52641
991,2017-09-18,63533
992,2017-09-19,69396
993,2017-09-20,69583
994,2017-09-21,71005
995,2017-09-22,77516
996,2017-09-23,61608
997,2017-09-24,53404
998,2017-09-25,62974
999,2017-09-26,71674
1000,2017-09-27,74691
1001,2017-09-28,76281
1002,2017-09-29,75666
1003,2017-09-30,39901
1004,2017-10-01,49658
1005,2017-10-02,65095
1006,2017-10-03,74991
1007,2017-10-04,75770
1008,2017-10-05,74919
1009,2017-10-06,80935
1010,2017-10-07,62481
1011,2017-10-08,54259
1012,2017-10-09,66581
1013,2017-10-10,80107
1014,2017-10-11,81547
1015,2017-10-12,78442
1016,2017-10-13,78541
1017,2017-10-14,65298
1018,2017-10-15,49064
1019,2017-10-16,67501
1020,2017-10-17,76182
1021,2017-10-18,81407
1022,2017-10-19,86606
1023,2017-10-20,82500
1024,2017-10-21,61187
1025,2017-10-22,56272
1026,2017-10-23,68612
1027,2017-10-24,77692
1028,2017-10-25,73661
1029,2017-10-26,74873
1030,2017-10-27,79884
1031,2017-10-28,55905
1032,2017-10-29,48342
1033,2017-10-30,57437
1034,2017-10-31,55448
1035,2017-11-01,76645
1036,2017-11-02,78307
1037,2017-11-03,80482
1038,2017-11-04,62015
1039,2017-11-05,52636
1040,2017-11-06,69140
1041,2017-11-07,73171
1042,2017-11-08,75983
1043,2017-11-09,83977
1044,2017-11-10,77665
1045,2017-11-11,59275
1046,2017-11-12,51304
1047,2017-11-13,61182
1048,2017-11-14,70536
1049,2017-11-15,77010
1050,2017-11-16,77927
1051,2017-11-17,82072
1052,2017-11-18,56965
1053,2017-11-19,45727
1054,2017-11-20,52328
1055,2017-11-21,57672
1056,2017-11-22,48640
1057,2017-11-23,25351
1058,2017-11-24,35845
1059,2017-11-25,47530
1060,2017-11-26,45224
1061,2017-11-27,64566
1062,2017-11-28,69911
1063,2017-11-29,72953
1064,2017-11-30,75958
1065,2017-12-01,78560
1066,2017-12-02,58720
1067,2017-12-03,46902
1068,2017-12-04,58323
1069,2017-12-05,70486
1070,2017-12-06,72549
1071,2017-12-07,83126
1072,2017-12-08,84912
1073,2017-12-09,63365
1074,2017-12-10,44778
1075,2017-12-11,59446
1076,2017-12-12,69545
1077,2017-12-13,71235
1078,2017-12-14,80036
1079,2017-12-15,81691
1080,2017-12-16,55362
1081,2017-12-17,40857
1082,2017-12-18,56758
1083,2017-12-19,61855
1084,2017-12-20,67436
1085,2017-12-21,67022
1086,2017-12-22,58801
1087,2017-12-23,41801
1088,2017-12-24,27356
1089,2017-12-25,14300
1090,2017-12-26,34511
1091,2017-12-27,45843
1092,2017-12-28,48596
1093,2017-12-29,51876
1094,2017-12-30,42691
1095,2017-12-31,28741
1096,2018-01-01,39694
1097,2018-01-02,44853
1098,2018-01-03,48180
1099,2018-01-04,53999
1100,2018-01-05,57561
1101,2018-01-06,36050
1102,2018-01-07,28396
1103,2018-01-08,49194
1104,2018-01-09,53290
1105,2018-01-10,58876
1106,2018-01-11,63847
1107,2018-01-12,70265
1108,2018-01-13,45944
1109,2018-01-14,36225
1110,2018-01-15,39175
1111,2018-01-16,59135
1112,2018-01-17,65155
1113,2018-01-18,66513
1114,2018-01-19,64386
1115,2018-01-20,45185
1116,2018-01-21,43363
1117,2018-01-22,66640
1118,2018-01-23,72012
1119,2018-01-24,67871
1120,2018-01-25,63671
1121,2018-01-26,62901
1122,2018-01-27,41173
1123,2018-01-28,34499
1124,2018-01-29,53730
1125,2018-01-30,57656
1126,2018-01-31,58513
1127,2018-02-01,68601
1128,2018-02-02,67551
1129,2018-02-03,38917
1130,2018-02-04,32699
1131,2018-02-05,58941
1132,2018-02-06,63184
1133,2018-02-07,64866
1134,2018-02-08,68965
1135,2018-02-09,43026
1136,2018-02-10,43935
1137,2018-02-11,34588
1138,2018-02-12,58080
1139,2018-02-13,62851
1140,2018-02-14,64511
1141,2018-02-15,68030
1142,2018-02-16,69268
1143,2018-02-17,52172
1144,2018-02-18,41606
1145,2018-02-19,44150
1146,2018-02-20,66280
1147,2018-02-21,72538
1148,2018-02-22,78209
1149,2018-02-23,80469
